PARCELA 30 (APE 19.08)2	CALLE GALLEGOS 75	000043S
PARCELA 31 (APE 19.08)3	CALLE GALLEGOS, 73	000044S
PARCELA 32 (APE 19.08)4	CALLE GALLEGOS, 71	000045S
PARCELA 33 (APE 19.08)5	CALLE GALLEGOS, 69	000046S
PARCELA 3.16.1.26	PL UZI0010 EN CARABANCHEL 3161(2)	000075S
PARCELA 43 (APE 19.08)7	PRAT 25, CALLE	000048S
PARCELA 42 (APE 19.08)8	PRAT 27, CALLE	000047S
PARCELA RC-2B9	RUFINO GONZALEZ  57, CALLE	000066S
PARCELA 1.310	VILLAESCUSA 62, CALLE	000082S
VIRGEN DE LLUC, 49, C/11	VIRGEN DE LLUC 49, CALLE	000095S
5205934	C/ Almonte s/n	000011I
1619735	Av/ de las Suertes c/v C/ Corral de Almaguer 	000139I
1620136	C/ la Puebla Nueva c/v C/ Barranco del Novillo	000140I
1740737	Av/ de las Suertes c/v C/ de Jos Gutirrez Maroto	000145I
4264138	Av/ de Valdeculebras 210	000581I
4264339	Av/ de Valdeculebras 200	000582I
4264540	Av/ de Valdeculebras 188	000583I
839044	Plaza Norte 1	000434I
839245	C/ General Aranda 96	000435I
839446	C/ Va Lmite 1	000449I
633947	C/ General Aranda 4-4b	000443I
634148	C/ General Aranda 3	000440I
634949	Pz. Joaqun Dicenta 4, 5, 6 C/ Mrtires de Ventilla 10	000447I
631950	C/ Mrtires de Ventilla 15, 17, 19, 21	000444I
7500751	C/ Lucano 14	000584I
6588152	C/ El Yesero 58	000086I
